size,instance,baseline_best_obj_CALNS,Avg Obj,Gap(%),Avg Convergence Iter,Avg Time(s),Best-of-3 Hit Count,best_obj
50,c101,2.927,2.039817388543067,-30.31030446,1743.6666666666667,537.8769526481628,1,2.073170731707317
50,c201,2.2625,1.6544566544566546,-26.874844,1652,481.22103635470074,1,1.6666666666666667
50,r101,1.8258,1.3796074892849086,-24.43819206,1929.3333333333333,343.51305945714313,1,1.5128205128205128
50,rc101,2.0478,1.1320754716981132,-44.71747867,1136.3333333333333,314.1098806858063,3,1.1320754716981132
