size,instance,baseline_best_obj_CALNS,Avg Obj,Gap(%),Avg Convergence Iter,Avg Time(s),Best-of-3 Hit Count,best_obj
70,c101,3.457,3.343344138335402,-3.287702102,1857.6666666666667,2140.7305523554483,0,3.4313725490196076
70,c201,2.689,2.7478926729186824,2.190132872,1348.6666666666667,1590.3301816781361,2,3.076923076923077
70,r101,2.765,1.9707098205283324,-28.72658877,1010,685.272341966629,0,2.736842105263158
70,rc101,2.238,2.103717486758422,-6.000112299,1592,1344.1390914122264,0,2.1363636363636362
