size,instance,baseline_CALNS_AvgObj,Avg Obj,Gap(%),Avg Convergence Iter,Avg Time(s),Best-of-runs Hit Count,Hit CALNS Avg Count,best_obj_in_runs
100,c101,3.643,4.209262083744962,-15.543839795359926,691.3333333333334,6470.095375855763,1,2,4.680851063829787
100,c201,3.725,3.635403649425754,2.4052711563556057,582.6666666666666,4728.514283895493,1,1,4.526315789473684
100,r101,3.3935,4.3937325771412095,-29.474954387541167,875.0,5755.234273274739,1,3,4.435643564356436
100,rc101,2.99,2.780031561032588,7.022355818308097,639.6666666666666,2037.3309987386067,1,0,2.9411764705882355
