size,instance,baseline_CALNS_AvgObj,Avg Obj,Gap(%),Avg Convergence Iter,Avg Time(s),Best-of-3 Hit Count,best_obj
50,c101,2.927,1.938577886923034,-33.769119,684.3333333333334,227.51148303349814,1,2.073170731707317
50,c201,2.2625,1.6483516483516485,-27.14467853,821.3333333333334,353.9158016840617,3,1.6483516483516483
50,r101,1.8258,1.4707169857294964,-19.44807834,925.3333333333334,192.5292501449585,1,1.5512820512820513
50,rc101,2.0478,1.141813755325624,-44.2419301,892.3333333333334,268.63798276583356,1,1.1612903225806452
,,,,,,,,
