size,instance,baseline_best_obj_CALNS,Avg Obj,Gap(%),Avg Convergence Iter,Avg Time(s),Best-of-3 Hit Count,best_obj
100,c101,3.643,3.818307116445414,4.812163504,737,2871.786509037018,1,4.270833333333333
100,c201,3.725,3.766564925686396,1.115836931,680.3333333333334,2563.0795374711356,1,4.123711340206185
100,r101,3.3935,2.8657154829247857,-15.55280734,811.6666666666666,1415.2307143211365,1,3.387596899224806
100,rc101,2.99,2.800130775937227,-6.350141273,865.6666666666666,1604.3630980650585,1,2.972972972972973
