size,instance,baseline_CALNS_AvgObj,Avg Obj,Gap(%),Avg Convergence Iter,Avg Time(s),Best-of-runs Hit Count,best_obj_in_runs
100,c101,3.643,3.775927499291984,3.648847085,609,4718.7496443589525,1,4.266666666666667
100,c201,3.725,3.855573276625908,3.505322862,620.3333333333334,3551.709798415502,1,4.040404040404041
100,r101,3.3935,3.190605066767857,-5.97892834,630.3333333333334,1633.450817187627,1,4.240384615384615
100,rc101,2.99,2.814499134683905,-5.869594158,591,2632.9922149976096,1,3.709090909090909
