size,instance,baseline_CALNS_AvgObj,Avg Obj,Gap(%),Avg Convergence Iter,Avg Time(s),Best-of-3 Hit Count,best_obj
70,c101,3.457,3.457,3.1438219723876055,1077.6666666666667,1660.3644018967946,1,3.364485981308411
70,c201,2.689,2.689,2.4751083706307586,1112.6666666666667,1663.304425239563,1,2.611940298507463
70,r101,2.765,2.765,2.092929454838211,1273.3333333333333,995.3908826510111,1,2.278481012658228
70,rc101,2.238,2.238,2.031039671404461,1025.3333333333333,914.7282596429189,1,2.1242603550295858
