size,instance,baseline_CALNS_AvgObj,Avg Obj,Gap(%),Avg Convergence Iter,Avg Time(s),Best-of-3 Hit Count,best_obj
50,c101,2.927,1.8274559903808216,-37.56556234,1065,252.30804363886514,1,1.935483870967742
50,c201,2.2625,1.470771486164559,-34.99352547,1056.6666666666667,356.7421844800313,1,1.588785046728972
50,r101,1.8258,1.3261905177813436,-27.36386692,1339.6666666666667,269.7036633491516,1,1.3383458646616542
50,rc101,2.0478,1.0982417349014397,-46.36967795,1067.6666666666667,251.99543889363608,1,1.1320754716981132
