size,instance,baseline_CALNS_AvgObj,Avg Obj,Gap(%),Avg Convergence Iter,Avg Time(s),Best-of-runs Hit Count,Hit CALNS Avg Count,best_obj_in_runs
100,c101,3.643,4.175927499291984,-14.628808654734685,609.0,4718.7496443589525,1,3,4.266666666666667
100,c201,3.725,3.855573276625908,-3.505322862440483,620.3333333333334,3551.709798415502,1,2,4.040404040404041
100,r101,3.3935,3.190605066767857,5.978928340419708,630.3333333333334,1633.450817187627,1,1,4.240384615384615
100,rc101,2.99,3.014499134683905,-0.8193690529734102,591.0,2632.9922149976096,1,1,3.709090909090909
