size,instance,baseline_CALNS_AvgObj,Avg Obj,Gap(%),Avg Convergence Iter,Avg Time(s),Best-of-3 Hit Count,best_obj
100,c101,3.643,3.889923148746678,6.77801671,599,2712.866535345713,1,4.313725490196078
100,c201,3.725,3.851099538626764,3.385222513,919,3900.50572959582,1,4.225352112676056
100,r101,3.3935,3.1708156593934873,-6.562084591,620.3333333333334,1407.7196961243947,1,3.890909090909091
100,rc101,2.99,2.9105444030641593,-2.657377824,1002.3333333333334,2114.1288974285126,1,3.5247524752475248
